694.85,679.79,759.33,740.89,785.16,721.8,656.17,622.14,730.29,576.93,648.6,536.13,601.82,594.17,727.05,692.68,266.51,273.98,794.25,809.01,595.26,608.46,308.46,305.09,179.87,205.1,387.31,399.83,397.48,370.67,468.7,340.96,655.58,608.63,709.95,684.11,607.17,564.14,446.78,470.65,303.05,335.15,321.76,391.56,720.92,699.2,744.97,750.89,667.75,605.4,792.91,780.26,725.34,714.89,641.81,578.31,483.13,437.43,704.8,719.63,722.89,805.52,788.35,826.34,696.82,730.12,736.93,789.33,750.61,702.8,715.54,704.87,688.24,633.38,475.34,520.36,338.35,367.5,578.99,590.02,588.5,586.25,414.79,401.78,530.44,561.34,309.67,347.01,311.04,324.68,622.66,579.71,716.69,624.51,569.07,533.75,582.03,568.77,643.29,634.02,692.3,638.04,659.28,662.09,614.51,615.06,461.01,522.22,568.46,606.64,582.72,648.04,746.03,725.9,652.66,588.54,600.21,593.76,676.92,642.39,552.88,552.6,571.49,566.28,552.69,532.99,564.65,564.2,550.5,530,630.17,633.02,619.86,619.44,499.26,481.13,471.72,479.86,541.59,548.88,592.23,585.06,601.69,593.71,626.89,592.07,568.8,592.3,820.64,770.58,748.04,714.21,208.29,262.64,419.5,407.56,381.38,363.76,303.02,326.68,434.44,413.55,514.2,509.4,536.11,492.67
692.6,676.1,756.48,737.39,781.94,716.9,652.37,615.97,724.19,571.12,640.43,528.42,599.02,588.37,721.01,689.81,258.82,269.66,781.84,801.32,587.27,604.56,304.44,300.67,177.22,203.47,382.49,396.68,390.28,357.83,469.17,337.3,647.2,599.15,707.34,682.5,606.71,564.74,443.57,468.58,301.21,333.17,320.28,387.68,717.18,696.99,742.64,748.22,664.67,602.92,788.94,778.33,723.57,713.55,640.27,577.6,480.63,436.9,701.5,716,719.35,802.88,784.39,823.99,692.61,725.21,734.54,788.77,747.4,700.86,710.96,702.78,680.4,627.6,474.57,518.36,337.28,366.85,575.7,585.72,585.74,583.93,410.04,397.36,528.93,559.26,307.14,347.01,309.59,324.06,621.29,578.71,712.85,620.4,560.01,527.29,577.97,567.31,641.1,635.23,691.56,638,659.26,660.96,615.3,616.88,461.09,518.86,553.67,588.53,575.47,642.6,744.05,726.44,654.24,591.65,595.68,592.08,666.28,634.79,550.77,551.62,569.75,566,551.5,532.23,558.41,561.08,543.5,535,621.86,626.01,619.29,622.11,497.81,477.58,468.33,473.29,534.62,539.88,588.85,575.78,595.83,587.38,623.3,589.22,555.49,587.08,803.46,763.91,741.15,710.44,202.6,260.44,409.3,401.33,374.47,359.3,300.49,323.53,427.35,413.66,501.8,497.6,515.78,499.33
690.84,673.25,755.18,734.71,780.1,714.54,652.41,616.54,724.91,571.74,639.15,528.94,601.5,590.77,716.91,686.56,260.48,269.46,779.16,799.31,586.44,605.52,303.34,300.62,176.71,204.38,381.53,395.55,392.02,361.58,467.52,334.72,648.73,598.69,706.06,682.06,605.37,560.61,444.16,468.27,300.26,332.17,322.48,386.73,718.99,698.02,742.56,747.95,663.78,601.47,786.9,777.1,722.41,713.07,637.36,574.18,479.61,435.41,700.74,713.74,715.97,798.37,781.93,822.41,692.79,725.96,734.29,788.53,745.13,699.1,709.06,697.7,676.69,623.13,475.47,518.46,337.65,368.45,576.58,582.78,586.56,584.75,412.67,396.36,529.15,559.18,307.49,344.99,308.21,321.81,619.86,580.43,710.37,618.62,562.59,527.79,581.04,569.78,640.74,635.04,689.9,634.33,658.43,659.1,614.39,611.27,460.02,521.1,555.79,600.96,584.95,642.77,739.51,724.2,649.98,576.09,599.84,592.92,655.92,625.68,554.32,552.31,567.65,565.25,550.99,532.03,563.63,559.78,542,515,629.91,630.2,621.45,625.11,500.84,481.17,468.56,482.07,540.68,550.06,586.46,577.37,597.43,588.76,619.67,582.78,555.68,584.6,803.74,764.48,739.44,709.51,204.18,255.94,418.8,407.33,378.66,364.42,300.32,328.2,436.56,418.6,514,508.2,530.83,501.67
691.9,674.35,753.86,733.31,778.46,712.53,656.37,617.56,726.57,571.56,636.67,524.68,605.15,591.82,717.83,687.25,262.81,272.62,776.84,797.62,581.07,602.81,302.13,299.56,175.27,204.13,376.45,391.73,385.48,355.93,463.28,328.48,649.67,598.83,706.2,681.94,606.37,565.05,444.55,470.71,303.39,334.28,329.6,395.73,716.57,695.79,741.9,747.37,663.43,601.96,785.24,774.49,721.67,712.37,638.99,573.05,480.93,436.54,702.32,714.77,715.4,799.35,782.23,821.58,695.03,726.19,735.95,788.18,746.85,700.46,708.87,699.05,672.1,620.11,478.19,520.49,341.86,369.67,577.86,583.89,586.46,583.17,405.21,393.7,529.71,558.05,310.21,345.3,308.86,321.38,623.1,581.57,715.27,623.14,565.66,528.39,582.36,569.5,644.04,638.8,693.23,639.7,660.87,662.74,615.5,616.93,463.06,524.91,566.81,589.39,582.83,646.51,743.49,726.4,653.34,583.59,596.21,593.36,665.16,633.93,550.51,550.64,571.92,566.34,553.6,534.01,563.59,563.57,534,536,631,632.17,622.81,624.72,500.35,477.29,471.61,472.29,537.56,541,595.99,583.2,599.51,589.65,624.07,588.81,560.51,584.92,799.75,761.87,739.41,706.94,208.2,262.43,404.5,398.11,367.97,355.21,294.53,321.62,429.75,412.02,513.2,497,533.61,505.5
690.97,673.5,753.59,732.85,777.75,710.63,651.04,614.64,722.14,569.28,637.34,524.83,601.14,590.1,715.76,686.17,262.7,274.06,774.92,795.8,581.61,604.49,304.24,302.37,179.81,206.18,384.2,398.21,394.71,364.51,460.99,332.66,648.74,600.26,705.27,681.46,606.4,563.55,448.02,472.05,304.26,335.19,328.86,393.65,717.97,696.35,741.9,746.96,663.55,600.36,784.78,773.13,721.92,713,637.08,572.48,480.9,436.69,702.98,714.4,715.58,798,782.91,822.33,694.03,726.67,737.26,788.2,746.9,700.57,709.74,699.17,673.92,620.68,477.89,520.84,339.89,370.18,576.93,584.28,587.7,584.01,418.25,395.74,530.7,558.9,309.95,346.06,309.36,323.48,622.57,583.03,713.77,621.33,569.57,538.18,583.78,571.12,644.43,640.2,694.42,639.4,662.16,663.33,616.49,621.08,463.74,523.22,560.35,607.53,582.23,649.92,749.25,728.54,655.61,591.79,595.89,589.04,658.84,627.39,550.79,547.49,567.8,564.54,551.38,533.84,561.12,561.12,550.5,523,625.79,629.08,619.5,623.03,502.86,484.58,470.83,483,539.32,549.3,590.61,583.41,597.06,591.15,621.37,587.56,555.35,586.17,798.34,760.39,737.07,707.15,213.34,268.74,413.3,402.33,373.44,362.55,296.21,327.75,434.79,416.6,526.6,518.2,518.11,504
689.59,671.57,752.78,732.46,775.67,709.84,652.76,614.76,722.51,570.11,634.07,523.12,602.22,591.96,714.61,684.26,260.58,272.57,775.17,796.28,580.28,604.25,301.15,302.94,177.67,205.99,381.76,396.53,391.33,360.18,458.72,328.03,647.5,597.69,702.32,678.66,604.78,562.1,444.32,468.9,303.2,334.8,326.4,392.81,711.34,691.97,737,742.93,659.12,597.26,781.93,768.65,718.44,709.7,634.59,568.36,480.08,434.67,701.78,713.83,712.85,794.18,781.6,820.21,694.2,726.51,734.47,787.97,743.66,696.82,706.27,695.21,674,620.28,475.55,519.66,339.17,369.21,576.95,582.23,585.05,582.49,405.98,392.95,527.76,556.69,308.65,345.25,308.87,320.57,620.33,581.84,710.95,620.75,564.88,527.87,582.58,570.33,643.34,637.6,691.07,635.56,659.76,661.79,613.72,615.82,462.33,523.77,559.94,595.8,583.13,641.63,740.44,726.28,652.57,572.39,604.26,594.64,658.56,625.86,554.05,551.59,568.55,563.5,550.95,532.91,563.08,560.92,548,522,629.03,624.96,620.64,620.08,497.53,482.1,467.83,476.71,534.94,546.03,592.53,587.77,598.51,592.09,620.26,584.85,557.45,585.49,796.32,759.4,737.58,706.55,206.9,264.24,414.1,402.44,372.63,360.97,297.87,325.72,434.09,416.74,507.8,499,528.94,498
687.98,670.59,751.41,731.48,774.85,708.72,649.4,612.41,720.03,567.89,632.56,521.09,594.86,586.51,712.09,682.12,260.37,273.32,774.7,794.94,579.26,602.47,300,300.59,176.45,202.09,379.65,392.47,388.56,354.67,455.35,325.65,643.97,595.18,699.82,677.09,603.93,562.69,445.8,471.21,302.71,333.77,323.15,389.97,709.4,689.1,734.88,740.11,658.83,595.25,780.92,767.74,718.09,707.93,634.24,568.84,479.24,432.49,699.35,712.59,712.12,793.66,780.93,819.62,691.77,723.72,734.99,785.85,742.47,695.47,704.65,694.48,668.93,619,472.51,517.42,336.92,366.56,570.8,579.97,582.42,580.35,407.56,392.66,527.17,554.85,309.52,345.2,308.51,320.87,618.65,581.06,711.32,620.72,563.42,528.52,583.46,570.23,641.62,636.28,689.68,636.27,658.09,660.72,613.69,615.15,459.6,522.55,555.87,582.37,592.46,651.8,742.22,723.96,653.01,583.02,588.05,578.84,664.6,630.82,544.52,543.95,566.99,562.03,549.91,531.28,557.67,557.78,535.5,528,620.92,625.99,612.62,615.56,498.16,482.94,467.39,474.14,538.03,541.33,590.23,582.66,595.06,586.71,621.3,586.7,554.58,582.24,796.35,759.1,735.4,705.02,206.64,264.87,410.4,402.78,372.22,362.61,295.17,328.43,431.46,415.38,495.6,493.6,533.56,498.5
687.12,669.25,751.95,731.57,774.62,708.65,648.84,612.15,720.51,566.84,636.8,522.16,594.39,587.59,711.91,682.58,264.76,274.05,776.04,795.78,581.24,603.18,303.34,303.31,178.66,203.16,383.01,392.27,392.01,361.06,456.03,328.93,647.91,599.64,699.57,676.1,602.02,561.2,444.91,470.14,302.47,333.68,321.5,391.45,708.17,687.82,732.22,739.15,656.85,594.92,780.71,766.13,717.62,707.98,633.91,569.88,477.08,431.49,698.14,712.02,711.77,794.22,779.93,819.3,691.56,724.23,735.99,787.12,742.33,694.77,705.19,694.3,672.27,620.93,473.14,517.89,337.41,364.93,572.41,585.3,583.32,580.35,409.45,394.97,527.81,555.06,308.62,345.71,309.14,320.26,617.45,577.51,712.8,621.3,567.04,534.86,581.13,567.56,637.26,630.56,689.66,635.39,657.34,659.56,612.46,614.67,458.51,516.16,558.58,607.33,582.49,646.97,744.02,722.95,651.47,600.34,595.58,584.84,658.92,624.39,549.89,546.65,566.72,561.57,550.08,530.12,561.33,560.24,547,528,626.38,627.98,615.62,616.67,496.07,479.27,467.56,472.64,535.29,545.45,587.48,581.82,597.23,588.41,619.78,583.44,557.38,583.53,799.99,761.67,735.61,706.17,210.91,270.01,413.6,403.56,375.25,359.42,298.68,324.65,431.46,411.47,499.6,494.4,525.67,478.33
688.2,670.34,751.8,732.26,775.16,709.59,648.58,612.17,719.11,566.61,635.12,520.58,595.25,586.68,713.6,684.14,259.69,271.52,772.82,794.58,579.03,602.03,300.87,301.39,176.5,203.19,379.68,391.94,388.03,355.18,457.77,327.38,644.56,597.09,700.35,677.48,603.77,561.03,442.81,470.11,300.47,332.54,319.74,390.75,706.45,687.4,732.91,738.92,656.89,592.18,780.83,766.97,717.63,707.41,631.97,567.76,476.02,430.76,698.77,712.25,711.95,794.2,779.95,820.77,691.01,723.38,734.24,788.23,741.74,695.06,705.19,695.73,674.7,621.23,473.25,517.78,336.34,365.64,573.43,581.74,582.87,581.15,410.54,392.82,527.01,554.5,308.38,345.51,307.94,319.99,616.23,576.31,711.6,618.51,563.04,530.28,580.02,568.54,635.07,630.45,690.49,636.71,658.07,659.26,614.08,616.65,460.26,516.84,556.37,592.78,581.22,641.75,740.53,723.38,651.29,590.63,589.47,580.24,657.72,628.18,547.82,544.13,566.65,562.88,548.85,531.61,559.29,558.61,534.5,523,624.02,627.26,613.5,618.81,494.65,477.54,460.72,467,531.82,539.79,584.5,577,594.37,588.21,618.41,584.59,554.5,583.78,792.69,757.09,733.77,706.28,206.26,266.81,410.7,401.33,369.44,357.88,293.92,322.42,428.93,413.43,497.8,496.2,529.5,496.33
687.22,668.75,751.45,731.1,774.96,709.29,649.23,612.86,720.9,568.12,633.62,521.55,597.85,588.15,712.01,682.92,258.95,271.03,772,793.8,577.44,602.64,300.63,302.15,176.65,205.66,379.81,393.58,388.65,357.97,458.82,327.78,646.23,597.06,700.47,677.51,602.86,558.93,443.3,467.83,300.15,332.25,322.64,385.55,705.17,686.5,731.69,738.57,656.41,592.3,779.24,767.43,716.6,707.34,630.49,566.38,475.47,430.08,698.35,710.53,710.61,792.39,780.09,819.64,691.72,724.06,733.45,788.23,739.86,693.98,703.44,692.4,676.16,619.63,475.25,516.28,337.98,365.76,573.81,580.27,583.16,581.34,407.42,392.02,526.75,554.33,306.56,344.01,306.1,318.34,614.94,574.5,708.09,616.35,561.15,529.24,578.98,567.08,634.56,630.55,689.19,634.52,658.04,658.89,613.18,614.76,460.77,517.75,559.19,598.75,576.52,641.68,739.11,722.26,650.53,582.05,596.47,588.2,657.28,620.86,549.63,549.36,565.94,562.51,550.69,531.81,560.49,559.16,538,514,636.85,638.24,618.5,620.94,496.98,481.98,462.17,475.79,532.82,547.06,587.78,580.37,596.57,588.5,618.89,584.37,552.9,582.48,795.86,759.77,735.3,705.74,206.02,263.12,412.5,400.22,372.16,356.82,298.04,323.17,432.91,414.22,513.4,502,526.67,497.5
