495.26,463.44,510.82,537.12,466.86,453.33,549.99,516.3,527.37,438.62,554.12,440,559.88,530.31,548.34,573.8,315.69,329.84,563.28,576.66,495.16,518.16,405.9,418.07,282.9,265.94,506.43,443.54,376.56,358.81,537.09,313.04,632.04,606.75,627.08,618,575.06,522.99,518.42,517.13,350.24,372.7,423.74,511.8,568.88,570.65,553.28,541.76,559.82,551.71,524.92,506.91,520.77,527.21,517.26,572.97,459.44,422.94,470.08,453.96,440.35,401.54,503.83,499.02,511.45,500.5,481.06,473.29,508.11,522.83,476.96,529.09,669.55,651.9,603.45,599.98,489.13,481.67,598.29,578.71,546.55,510.12,388.32,424.98,469.15,497.68,278.63,343.67,294.23,304.74,498.8,450.75,496.48,456.89,626.11,596.35,595.61,590.77,575.56,549.62,499.36,466.9,532.34,523.42,574.37,579.69,497.61,496.82,632.31,650.44,649.23,592.97,580.78,575.23,588.39,597.44,645.63,641.48,695.64,640.36,643.7,661.62,629.32,625.69,611.5,592.04,641.29,646.12,687,716,647.08,643.85,641.45,650.5,547.51,528.13,546.89,515.86,579.15,584.09,645.06,599.47,637.31,622.44,648.96,632.89,559.4,582.68,620.67,613.6,641.58,650.92,374.65,395.94,550.2,548.44,478.66,487.48,396.68,445.78,499.02,482.4,612.6,587.6,625.83,595.17
490.27,459.02,504.96,528.79,463.86,448.47,545.89,510.97,523.79,434.61,550.77,435.77,556.56,526.21,540.87,565.33,314.54,329.33,553.74,567.7,490.37,513.04,404.08,415.86,282.12,263.59,504.69,441.34,374.44,352.8,536.99,310.65,627.48,602.61,621.57,613.81,573.56,519.28,513.88,510.59,348.46,367.24,419.31,507.53,565.59,568.51,547.96,537.73,558.11,548.08,521.08,503.64,518.19,524.33,514.1,569.4,456.44,419.92,464.75,450.1,433.89,394.72,499.72,494.49,508.59,498.97,477.28,471.17,502.05,517.27,470.01,522.72,663.44,646.97,602.08,598.96,486.86,480.49,588.19,573.45,539.92,507.11,377.13,418.64,466.59,495.02,276.48,341.95,292.69,302.11,494.32,446.93,492.49,454.45,613.54,584.81,587.27,581.34,569.13,545.16,494.17,464,528.21,521.5,571.13,579.92,494.22,491.8,620.21,632.34,639.24,586.57,574.61,570.04,583.15,589.32,627.68,627.6,689.96,636.21,634.61,653.04,626.01,622.7,608.86,591.68,638.82,645.43,684,719,639.38,637.67,637.07,646.11,546.37,522.83,540.83,506.5,576.47,580.79,640.83,595.17,632.89,621.62,643.52,630.48,557.57,578.61,614.48,607.85,634.34,646.82,372.31,395.24,547.1,543.11,475.16,480.85,393.94,439.2,496.37,480.07,595.6,574,617.39,581.67
489.64,457.76,502.81,526.13,462.52,446.86,546.45,510.48,523.79,433.77,550.04,433.47,554.95,523.35,540.58,565.84,312.38,329.12,551.35,565.09,488.19,510.82,401.99,414.63,281.46,262.95,504.23,440.97,373.7,350.77,534.76,309.9,626.51,599.02,624.85,616.78,573.63,518.03,514.95,512.17,344.51,370.11,420.56,507.64,565.01,567.72,548.46,537.76,556.25,544.53,521.14,504.35,517.76,525.2,514.54,569.05,456.15,419.85,464.94,448.91,434.26,393.54,501.33,494.97,509.43,498.44,478.51,471.85,502.02,517.34,466.32,520.9,660.13,646.12,602.87,599.83,488.63,482.09,584.61,572.42,538.54,505.5,380,420.09,466.29,494.35,277.48,344.94,293.05,302.5,492.54,445.56,492.1,453.8,621.63,585.78,587.03,581.29,566.6,543.46,496.06,463.96,527.84,520.09,568.1,573.06,491.27,491.12,620.02,636.82,638.99,582.01,572.47,571.37,581.62,589.01,626.11,624.24,681.64,627.89,636.27,653.23,624.09,622.46,611.68,593.93,642.76,646.59,685,713,640.37,636.02,638.31,647.06,544.58,524.29,538.83,511.57,571.94,578.52,642.83,595.36,638.97,623.79,645.04,629.93,551.09,577.49,611.18,607.09,636.04,647.56,369.96,393.52,550.9,545.56,475.97,483.85,396.64,442.52,500.88,483.21,592.2,571,619.28,586.83
490.31,459.07,503.83,526.83,464.14,448.04,546.42,510.29,525.07,433.99,552.84,436.31,556.32,525.11,540.51,565.87,315.4,330.88,550.37,563.89,489.51,512.66,403.93,414.75,280.57,261.41,503.37,440.84,374.22,354.54,536.01,311.07,629.29,602.24,623.46,615.54,574.68,520.14,514.89,512.02,347.87,371,419.32,509.84,567.43,568.97,548.82,538.32,559.19,547.89,520.44,503.57,517.54,523.99,513.43,569.35,456.68,420.55,465.08,449.94,434.4,394.35,500.48,494.68,508.64,498.34,477.47,471.04,502.38,517.51,468.16,521.81,661.05,646.49,602.7,599.42,487.63,480.68,590.05,573.87,541.96,507.19,382.19,419.95,467.5,495.54,276.77,342.86,291.7,301.82,493.87,446.53,491.74,454.37,623.19,591.29,588.38,582.13,568.48,545.85,496.79,465.23,529.61,522,568.85,576.9,494.72,497.3,624.42,637.32,637.59,582.49,572.98,570.54,583.37,587,618.84,617.12,671.36,616.61,634.6,652.83,621.94,621.08,610.06,591.05,641.33,644.55,683,712,638.91,638.43,636.14,649.03,544.35,524.65,540.89,509.43,575.85,580.88,639.34,591.73,635.37,619.79,642.59,624.78,558.25,583.73,614.31,609.7,633.86,646.22,372.98,394.66,549.6,546.89,474.63,483.88,393.34,442.28,499.14,483.86,599.4,574.8,621.56,595.33
490.84,459.15,503.76,526.21,463.71,447.29,548.89,511.21,526.06,434.32,554.01,436.78,557.59,526.76,541.25,565.23,318.07,332.33,552.83,566.38,489.43,512.56,405.27,416.75,282.57,263.14,505.06,441.4,376.77,354.33,538.37,311.68,629.9,602.85,624.32,615.78,573.27,518.93,517.59,514.23,349.58,371.14,425.73,512.93,568.3,570.16,550.37,539.89,559.41,549.33,521.99,504.82,519.45,525.58,515.68,571.5,457.71,422.22,466.04,450.67,434.82,394.8,501.2,493.38,511.08,498.84,479.18,472,503.22,518.48,470.85,522.25,663.09,649.01,606.3,601.61,490.89,482.51,592.07,577.47,543.33,508.72,381.58,420.05,469.43,497.08,278.11,344.6,293.6,303.52,493.54,447.05,493.09,455.02,623.49,591.62,589.98,585.55,568.48,545.56,495.68,465.32,529.35,521.64,571.51,578.56,491.9,489.44,630.31,639.87,640.64,583.68,575.02,570.19,584.65,591.74,634.42,632.68,680.2,628.5,640.29,658.77,626.9,625.31,611.44,593.79,642.82,649.51,688.5,721,646.72,645.73,643.05,654.58,546.56,524.46,542.39,513,576.5,582.06,641.12,595.3,637,623.88,644.19,628.19,559.74,581.79,617.99,611.79,638.33,649.18,377.59,396.8,552,546.33,476.69,483.18,393.32,441.02,496.56,482.14,607.4,581.6,619.5,594.5
492.09,460.41,504.62,526.91,463.97,447.63,549.32,511.98,526.2,435.41,554.61,437.36,558.86,528.5,542.14,567.37,315.73,330.45,553.82,566.96,490.97,512.56,405.77,416.62,282.4,263.1,505.64,441.63,376.11,355.69,537.35,312.26,629.48,602.12,625.92,617.59,577.01,521.83,514.75,513.14,349.02,369.63,420.74,509.77,568.89,571.51,551.65,540.25,559.95,549.9,522.23,505.27,519.28,525.68,515.31,570.42,456.6,420.83,467.64,452.2,437.06,395.08,502.93,494.28,512.57,500.57,479.88,472.21,505.02,520.14,469,523.88,664.74,648.81,605.9,601.45,490.26,484.06,590.63,578.14,542.47,509.17,379.13,418.96,468.92,496.85,276.44,344.06,291.38,302.29,494.45,448.22,492.35,454.54,610.49,579.68,587.24,580.46,569.76,547.15,495.99,464.43,529.87,521.78,571.29,579.83,497.47,495.85,621.38,625.17,637.6,583.63,573.2,571.2,585.93,591.84,634.58,635.76,681.64,632.21,641.15,658.85,627.52,625.35,612.08,594.39,643.75,648.04,686,708,645.21,644.55,644.36,655.31,546.74,529.1,545.94,518.21,578.71,583.18,643.61,595.64,639.17,625.29,644.89,629.41,554.26,577.84,617.96,611.38,639.48,650.52,376.43,396.33,547.4,545.11,476.44,483.15,395.94,441.32,503.82,484.52,593,572.6,622.28,581.83
493.28,462.39,504.75,527.77,464.26,448.89,549.47,511.96,526.18,434.89,553.75,436.26,558.17,528.76,543.84,567.78,317.43,333.27,553.19,566.13,489.21,510.83,406.39,416.7,283.62,263.14,506.23,441.49,377.64,353.45,538.21,312.56,629.59,601.36,627.63,618.97,578.59,522.73,517.5,516.98,345.44,371.89,421.55,513.94,570.77,572.65,552.2,540.93,561.41,551.2,523.31,506.19,520.64,526.38,517.76,572.28,458.67,422.93,468.98,454.21,438.32,397.71,504.23,497.14,512.2,501.29,479.84,473.3,506.15,521.44,469.33,524.04,665.5,649.97,606.6,602.52,491.44,484.29,590.73,579.38,544.09,508.53,386.47,421.68,469.66,496.53,278.9,346.35,293.81,303.95,496.16,449.36,493.6,456.39,615.57,584.67,589.76,581.29,570.41,547.77,497.18,466.57,531.1,523.97,571.69,579.32,494.98,495.03,614.6,631.92,640.92,584.21,574.05,570.71,581.53,588.34,634.74,634.2,684.32,630.32,640.93,656.74,629.93,627.49,616.95,597.53,647.53,651.41,684,713,651.6,649.92,648.57,661.06,547.23,529.4,544.39,516.29,579.91,581.18,647.68,601.63,646.31,631.26,649,633.07,551.45,578.25,614.41,608.78,637.27,648.02,378,398.89,549.9,544.44,476.94,480.58,397.58,441.6,503.16,484.09,590.6,568.6,616.22,588.5
493.86,461.85,506.76,529.61,466.09,450.43,550.3,512.9,528.12,436.16,556.33,438.84,559.73,529.7,543.74,569.46,318.71,332.9,554.39,566.97,493.72,515.16,408.51,418.92,284.02,264.02,506.44,442.65,378.41,356.83,539.81,312.91,631.6,605.48,626.61,618.96,579.03,523.78,519.74,514.92,351.07,373.18,426.36,513.51,571.3,572.74,552.82,541.29,562,552.27,523.01,505.77,520.54,525.87,517.24,571.86,459.17,423.86,469.27,453.67,439.32,399,504.85,497.19,512.37,500.65,481.49,474.14,506.88,522.08,469.55,526.63,666.28,650.64,606.95,602.57,491.72,484.38,596.14,582.22,546.72,510.63,386.34,425.05,469.78,497.7,279.59,345.88,293.78,304.56,497.53,450.5,493.57,456.5,627.15,596,592.61,584.8,572.32,549.71,498.03,465.84,531.21,524.01,570.21,578.25,495.15,494.55,629.04,647.36,639.51,585.58,574.94,573.49,585.94,588.71,644.68,641.04,680.2,631.54,644.19,663.03,628.72,627.79,612.22,594.42,644.57,650.76,691,721,653.69,652.1,648.81,660.61,547.28,528.88,546.94,519.71,580.56,582.7,643.3,597.22,639.46,624.85,645.37,627.78,561.63,583.24,621.74,613.5,639.48,650.23,378.61,397.85,552.5,549.11,478.63,486.79,396.02,443.08,500.74,485.48,598.2,579,626.33,598.67
493.88,462.79,507.25,530.1,466.37,450.68,551.19,513.63,528.21,437.19,557.18,438.9,561.5,531.92,544.69,568.98,319.5,333.56,555.7,568.17,496.6,516.06,410.43,421.02,285.91,265.32,508.46,444.19,380.99,357.85,542.58,315.05,632.56,605.78,627.61,619.11,582.02,526.51,519.78,516.16,350.65,371.09,426.45,513.7,573.6,575.33,554.53,543.2,564.58,555.73,525.07,507.59,522.8,527.56,519.49,575.2,460.2,425.22,470.07,454.71,439.74,399.41,505.4,497.94,513.78,502.04,483.47,475.43,508.38,523.8,472.01,526.88,666.35,651.13,608.67,603.88,492.35,484.9,598.32,584.37,546.69,512.02,383.69,422.19,471.1,498.79,278.02,344.62,295,305.79,498.35,451.91,495.35,457.62,620.34,587.38,592.9,586.29,573.61,551.23,497.83,467.6,533.19,525.15,575.91,585.88,499.92,496.84,627.44,636.68,642.77,587.54,578.67,573.98,590.01,593.4,647.89,642.12,685.2,636.29,646.86,662.05,631.98,630.17,616.23,598.75,648.49,654.1,690.5,720,656.15,655.14,652.33,664.92,549.65,531.88,549.56,521.07,583.59,588,645.12,599.61,642,629.68,647.63,632,557.69,580.2,621.37,612.85,640.62,650.85,382.33,401.92,551.7,545.67,477.47,483.09,396.42,442.02,499.79,483.71,603,580,623.11,590.83
494.68,463.21,507.27,530.12,466.25,450.66,552.43,514.75,529.04,438.03,556.35,439.04,561.42,532.37,544.74,569.6,317.29,332.04,556.54,569.51,495.24,516.04,409.24,420.05,285.98,265.25,509.12,442.83,379.71,357.02,540.63,313.03,630.77,604.22,630.14,621.42,582.45,527.61,519.63,515.66,350.05,372.39,424.16,510.65,572.2,574.49,555.3,543.51,562.96,554.43,525.48,507.52,522.22,527.55,518.08,572.79,458.23,423.48,470.85,455.01,441.28,400.96,506.66,498.42,515.21,502.71,483.96,475.97,509.92,524.91,471.45,527.28,665.91,651.14,607,603.49,492.86,485.64,593.14,584.89,546.4,511.44,384.4,421.64,470.65,498.09,278.68,345.59,293.63,304.48,498.12,452.99,494.99,457.39,614.79,581.38,591.43,581.94,573.19,551.21,497.54,466.55,531.64,523.79,571.87,579.9,497.74,494.11,620.65,634.23,640.96,587.61,576.68,573.91,586.26,595.41,648.16,646.28,687.48,640.39,646.8,664.32,631.8,629.9,615.68,597.57,647.31,650.67,687.5,716,652.52,651.21,651.12,662.25,550.33,532.15,549.67,526.57,583.5,587.21,649.21,602.93,644.46,630.03,651.3,635.3,556.04,579.83,621.98,613.46,642.15,651.4,380,399.17,549.2,544.67,478.06,484.09,397.68,443.73,506.82,484.69,588.8,571.4,628.11,578.17
