465.59,439.76,427.38,426.72,408.71,392.35,464.49,419.91,441.2,389.06,465.76,401.13,478.98,449.24,479.89,466.75,242.4,262.41,415.09,439.19,355.34,411.5,275.93,261,205.61,211.76,291.49,311.74,261.88,283.32,377.91,330.96,501.36,462.15,499.91,486.13,440.84,405.49,411.85,410.55,290.99,304.55,333.82,321.62,456.4,438.93,475.05,440.95,456.74,398.76,487.2,429.53,460.85,420.06,420.24,363.97,353.45,302.42,466.49,439.6,486.9,458.92,490.84,469.58,473.25,455.04,497.92,460.8,472.84,447.66,463.9,438.19,491.96,487.98,416.42,408.18,341.45,332.1,502.88,456.53,480.6,429.16,311.48,315.35,417.1,394.17,211.68,238,231.27,216.93,370.32,286.36,428.07,327.47,501.18,437.53,480.86,421.96,449.61,385.7,435.78,374.26,470.81,445.28,489.41,466.5,372.62,309.97,495.42,529.66,522.79,480.05,494.18,506.53,487.66,479.08,489.26,479.48,510.56,448.75,469.43,485.76,461.18,449.65,459.16,428.64,474.16,461.45,501.5,484,505.93,496.18,500.67,495.56,417.65,398.69,417.22,402.29,446.82,438.18,496.71,471.74,490.51,475.15,485.96,453.52,423.59,457.14,471.75,480.93,494.39,501.19,238.33,270.14,390.2,384.22,384.03,358.64,337.77,333.85,380.18,370.72,470.2,454.8,471.83,450.83
463,436.54,424.88,424.46,405.96,389.68,460.87,417.34,438.51,387.9,461.41,396.75,474.29,446.06,475.71,464.65,241.45,259.85,411.31,434.97,353.4,408.71,273.3,258.62,204.79,212.11,283.82,306.27,256.13,282.1,372.37,324.18,498.07,459.52,496.64,482.3,436.35,400.11,406.88,405.86,288.57,300.93,328.85,316.31,452.28,433.83,471.44,438.44,453.94,393.72,483.87,427.17,457.83,418.08,416.99,358.95,351.03,299.95,463.45,436.77,482.94,454.98,487.65,467.59,469.45,453.26,494.57,459.37,468.9,442.71,461.88,435.87,487.01,483.73,414.9,406.25,342.74,331.09,496.64,453.53,474.76,424.52,306.59,309.29,412.85,390.84,210.21,234.71,228.49,214.47,366.52,285.65,421.32,324.76,498.35,438.92,478.06,419.87,447.46,386.34,432.79,372.03,469.84,443.08,489.47,468.24,373.59,307.76,491.85,521.25,518.05,476.51,488.94,504.28,486.27,477.56,482.84,471.96,513.52,445.86,465.26,482.28,460.61,448.1,458.75,427.15,471.04,460.96,498.5,487,504.48,496.66,498.07,492.64,414.84,389.5,404.94,394.29,439.09,432.61,492.69,467.87,488.51,475.74,484.7,452.07,422.85,456.13,468.15,477.28,492.69,499.86,241.59,275.64,385.1,379,377.31,357.18,326.7,328.1,373.47,368.03,467.2,452.8,468.61,443.5
464.1,437.86,426.59,426.12,408.73,391.52,463.98,419.48,440.92,389.9,463.99,398.29,477.43,446.73,475.89,464.46,242.51,259.49,412.88,436.8,353.87,409.96,276.5,260.44,207.28,210.91,288.48,309.3,257.64,280.79,373.96,328.49,501.33,460.94,498.53,484.08,439.94,403.21,412.44,411.37,291.76,304.76,334.24,321.25,453.35,435.6,473.54,440.07,454.99,397.54,484.98,428.82,459.58,419.66,419.63,363,353.78,303.3,464.26,438.7,481.8,455.76,488.51,469.66,471.15,455.08,495.8,460.59,470.43,444.35,461.59,435.47,487.73,484.33,416.63,408.54,342.23,331.99,498.88,454.47,477.83,425.93,307.47,311.43,414.82,392.27,212.56,239.51,230.06,216.29,366.59,287.14,426.27,328.31,505.39,438.3,481.12,423.13,452.25,388.86,437.48,376.9,473.91,446.38,490.97,468.73,376.42,309.29,503.19,528.5,521.4,482.77,492.65,509.91,490.84,480.54,480.84,471.76,514.92,446.21,464.98,483.69,462.34,450.2,460.64,429.71,473.88,461.86,498,487,504.86,492.34,501.21,494.58,413.3,393.31,413.5,402.86,441.56,433.36,495,467.58,489.77,475.71,484.3,454.3,426.26,457.75,470.74,479.61,493.93,501.71,235.54,266.04,381.1,374.33,374.78,354.52,329.85,331.22,375.89,367.28,473.2,459,470,444.5
463.54,437.46,426.02,424.72,407.69,390.53,463.51,419.03,439.66,387.87,463.34,398.13,476.51,447.86,475.12,463.49,240.77,259.44,412.63,436.05,353.59,409.14,276.45,260.59,206.32,209.14,291.22,311.25,260.62,281.15,375.97,326.43,499.5,459.41,498.11,483.77,439.44,401.3,408.75,409.92,290.51,304.51,331.86,319.49,453.85,437.31,474,440.41,454.14,396.99,486.61,429.44,461.35,419.74,420.09,363.59,350.54,300.86,464.29,438.85,483.32,455.97,489.59,468.76,472.57,455.5,496.22,460.39,471.24,445.4,460.33,434.85,489.08,485.8,416.6,407.48,339.87,330.87,498.8,454.59,476.48,425.99,305.99,312.01,414.24,391.01,210.77,238.22,229.87,215.66,363.5,282.41,426.33,328.04,497.32,434.26,479.39,419.43,446.74,381.57,438.35,378.06,475.02,448.89,493.29,470.04,373.23,310.85,490.35,521.15,517.53,473.9,489.24,505.25,487.23,477.77,486.53,477.36,507.16,444.75,466.51,485.76,461.72,449.79,460.47,430.59,474.57,461.84,497.5,487,507.41,496.21,500.86,494.39,415.23,398.1,414.17,406.5,441.91,437.88,494.71,469.57,490.74,475.82,486.48,454.52,422.33,456.72,469.33,478.36,492.54,500.05,236.37,263.58,379.5,373.44,374.59,352.64,332.32,332.02,373.77,363.86,468.8,452.6,469.78,447.17
461.83,435.92,424.16,423.21,405.92,388.66,461.35,416.83,438.48,386.49,461.84,396,475.11,445.97,473.08,462.11,242.77,260.11,410.25,433.8,351.04,407.83,276.72,261.67,208.27,213.28,288.53,309.41,257.58,282.21,374.11,326.36,497.93,458.95,494.62,481.57,437.87,401.23,409.85,408.37,289.29,302.34,329.16,315.87,451.76,435.01,471.49,438.03,454.46,395.63,484.84,427.43,459.2,418.36,420.01,362.64,351.99,301.4,462.55,436.63,480.99,453.65,487.2,467.23,470.67,453.65,493.97,458.26,468.09,442.09,458.76,433.2,488.87,485.04,414.57,406.64,340.72,331.04,495.52,452.19,474.41,424.65,306.58,309.8,413.27,391.13,209.39,235.53,229.54,215.95,366.61,285.11,423.48,325.14,499.05,433.74,477.1,420.24,446.75,384.49,433.04,372.47,469.53,442.82,486.73,464.44,374.1,309.94,494.6,521.57,517.63,475.89,489.7,504.27,483.63,474.04,483.42,474.84,511.8,448.71,465.36,482.38,460.74,449.73,460.66,427.79,474,462.22,498,484,504.38,493.8,498.62,492.69,417.33,393.79,414.78,401.36,444.32,432.24,494.82,468.12,490.4,474.5,485.63,451.56,425.63,456.12,469.04,477.86,491.26,498.89,240.92,271.8,383.5,376.11,377.28,355.48,331.42,331.98,376.04,366.09,471.4,452.4,469.72,445.83
461.94,436,424.21,423.26,405.68,389.08,461.15,417.36,437.35,386.6,461.64,395.63,473.84,444.74,473.21,461.96,241.41,260.43,409.84,433.55,352.07,407.69,275.91,260.36,207.67,211.17,287.99,308.84,257.86,279.78,373.03,325.67,498.01,458.4,495.92,481.89,436.13,399.73,407.4,407.97,288.19,301.03,331.65,317.09,450.09,432.9,471.08,437.7,453.48,392.8,484.49,427.45,458.51,417.93,416.8,359.61,351.21,299.38,462.61,436.77,480.55,453.37,487.28,467.22,468.65,453.51,493.75,458.84,466.8,441.18,458.31,432.26,486.5,483.43,414.22,406.52,338.18,329.48,494.6,450.29,473.71,423.44,305.81,310.48,412.39,389.79,210.07,235.66,227.96,213.9,365.89,281.38,419.74,323.43,499.41,435.92,478.64,421.5,447.57,383.67,431.06,371.46,468.73,442.26,486.58,465.84,373.03,306.21,491.9,521.97,517.21,474.78,487.34,504.33,484.64,475.96,481.21,471.04,505.48,440.11,462.63,480.45,458.73,446.75,458.54,427.47,472.94,461.2,494,486,504.4,493.72,498,490.86,413.21,392.65,408.89,402.71,440.03,433.55,492.29,467.57,489.23,473.5,483.15,449.33,422.6,455.15,466.57,476.41,490.73,498.67,238.92,268.77,382.9,374.56,376.97,354.24,331.58,330.85,375.6,367.72,465,445.2,472.72,445.5
461.72,435.92,424.42,423.51,406.45,388.75,461.94,416.38,438.65,386.42,462.24,396.95,475.84,447.07,472.38,462.1,243.55,260.99,410.78,433.71,352.37,408.71,277.17,261.45,209.84,213.08,288.16,308.74,257.42,282.32,373.56,327.19,499.06,459.55,495,481.66,437.94,400.76,409.25,408.16,289.47,303.23,328.93,316.43,452.21,435.2,472.87,439.1,452.91,393.47,484.75,428.46,459.2,419.33,418.17,361.46,351.14,300.95,462.29,436.51,480.12,453.42,486.78,466.74,470.12,453.05,495.79,459.32,467.52,442.28,458.67,432.68,487.13,483.01,415.12,407.17,342.3,331.45,498.08,455.2,474.47,424.85,305.76,308.44,413.21,391.24,209.92,236.94,228.68,215.24,363.69,281.72,422.25,325.43,496.19,434.09,474.73,418.16,445.75,383.13,433.59,373.04,469.85,443.32,486.73,465.16,372.89,308.64,495.02,517.08,515.07,474.35,488.7,502.98,483.13,476.24,481.21,472.36,511.16,444.04,464.93,483.67,460.51,449.1,459.43,427.68,474.57,461.43,500,487,503.92,492.9,498.48,492.67,413.72,393.08,411.44,398.21,442.56,434.33,494.79,468.85,489.51,474.65,483.19,450.67,426.96,457.18,468.81,477.15,491.21,498.85,239.37,269.61,382.5,376.89,377.25,356.52,332.08,329.55,375.32,366.71,472.8,454.2,464.78,446
463.01,437.03,425.31,424.05,406.23,389.7,462.54,418.25,438.84,388.1,462.29,396.7,474.52,446.66,474.4,462.2,240.65,258.63,411.37,434.89,352.71,407.77,277,260.59,208.46,210.84,288.54,308.09,257.92,280.09,373.91,326.21,499.31,459.28,497.27,483.09,437.29,400.9,408.65,408.74,288.34,301.7,331.73,315.62,451.17,434.09,472.33,438.88,453.84,393.4,484.78,428.04,459.33,418.8,416.49,359.77,351.25,299.3,463.69,438.16,481.12,455.01,488.57,467.66,469.89,454.37,495.23,459.76,468.55,442.89,460.38,434.73,488.6,484.74,415.64,407.06,340.11,330.37,496.57,453.6,474.92,424.4,306.42,310.75,413.14,390.38,211.46,236.95,228.6,214.55,369.64,283.35,423.4,326.01,502.15,433.95,478.24,419.59,448.33,385.06,434.29,374.26,470.72,445.01,489.64,468.87,373.24,309.36,495.46,524.52,518.74,476.03,489.11,504.47,486.07,476.44,483.84,470.72,512.28,443.29,464.12,482.94,460.16,447.51,459.44,428.05,472.22,459.98,497,485,505.55,493.69,498.9,491.81,412.44,394.17,410.67,406.86,440.44,433.48,493.59,467.61,487.77,473.53,485.15,453.26,423.82,456.78,467.4,477.66,492.73,500.11,235.48,265.2,378.5,370.89,372.31,350.24,328.53,327.43,374.63,363.95,470.2,451.4,470.94,447.83
461.98,435.95,424.99,423.54,406.23,388.65,461.55,417,438.56,386.8,462.21,396.73,476.27,447.58,472.91,461.88,242.58,261.16,411.11,434.62,352.67,408.97,277.71,262.25,208.65,211.63,290.04,310.72,258.04,281.7,373.61,327.08,498.7,458.62,496.53,482.21,438.52,400.6,409.98,408.51,289.72,303.13,331.12,316.96,452.02,434.64,473.05,438.88,452.56,394.66,485.07,428.19,459.9,418.83,419.45,362.94,351.58,300.93,462.69,437.19,480.43,453.32,487.56,466.35,471.28,453.79,496.91,459.18,469,443.23,459.13,433.16,486.88,483.32,414.92,405.91,340.01,330.25,498.72,455.6,475.56,425.92,305.51,310.78,414.45,391.05,211.26,237.02,229.32,215.59,363.53,281.96,424.17,326.03,493.71,433.27,474.06,418.3,445.44,381.87,434.91,374.42,469.96,444.27,486.92,465.05,371.16,309.25,494.27,519.22,514.67,473.76,489.02,504.29,484.21,476.3,483.05,472.84,503.88,442.79,464.18,481.55,459.09,447.74,458.89,427.37,472.9,460.04,496.5,484,503.79,491.77,498.71,492.89,415.49,394.92,415,399.43,442.26,434.67,493.68,466.74,488.94,473.88,483.33,450.3,426.35,457.35,468.78,477.31,492.71,499.53,238.26,266.48,382.7,375.78,375.53,354.82,332.02,331.65,375.26,365.9,469.6,451.4,467.11,444.17
462.69,436.45,424.08,423.62,405.29,388.96,461.14,417.37,438.94,388.05,461.81,396.42,475.19,445.51,473.91,462.68,242.02,259.49,410.28,434.15,351.7,407.36,274.51,259.92,206.63,211.91,286.23,307.14,256.37,280.78,371.71,325.07,498.82,459.44,496.57,482.28,438.1,402.56,409.36,409.47,289.3,301.49,332.6,317.78,450.57,433.66,472.17,439.26,453.78,393.41,485.28,428.66,459.61,419.13,416.96,359.88,351.79,299.82,463.32,437.42,481.17,453.84,488.49,467.99,470.31,453.58,495.76,459.79,468.5,442.59,460.82,434.95,488.19,484.14,415.36,406.85,340.57,330.56,497.34,453.14,475.93,425.17,307.08,310.92,413.51,390.91,210.94,235.5,228.81,213.74,367.79,283.64,419.93,325.14,504,438.75,478.8,420.46,447.71,385.37,432.04,372.25,469.55,443.59,490.19,469.55,373.84,307.31,492.94,525.27,517.61,474.9,489.06,504.45,486.75,477.41,484.79,472.64,515.12,446.39,463.87,482.6,461.21,448.64,458.96,427.71,472.27,460.8,496.5,485,505.66,493.83,499.21,491.11,413.21,392.5,410.22,401.5,440.47,431.73,494.28,468.65,488.49,474.62,484.48,453.22,423.9,454.34,466.38,475.81,490.44,498.41,239.27,270.65,380.9,374.11,376.09,353.73,329.38,329.3,375.68,366.34,469,451.6,474.28,446.33
