495.93,484.16,514.03,499.91,502.02,469.78,497.94,465.87,510.79,426.21,521.95,425.73,505.8,478.27,500.39,494.58,352.64,376.31,532.04,536.75,424.34,463.43,253.59,287.29,172.47,220.09,358.05,345.52,415.97,409.04,416.87,292.05,554.52,553.57,535.76,527.82,472.4,447.58,476.12,481.65,386.48,401.25,446.02,504.05,481.57,503.59,490.27,504.47,490.61,485.15,491.2,495.72,464.97,493.74,441.66,464.22,427.11,423.36,497.18,494.28,483.9,477.38,515.85,549.44,491.74,508.96,487.85,510.57,493.92,496.68,476.53,466.86,674.42,641.56,509.87,524.82,408.74,412.29,526.92,519.16,489.53,475.65,403.43,398.08,442.61,467.58,313.76,366.63,320.7,353.06,399.64,412.25,408.89,379.87,591.35,569.51,553.92,528.7,519.09,516.26,390.38,396.83,487.46,472.26,577.74,587.07,438.01,381.88,587.44,621.71,575.27,537.01,561.29,563.7,580.17,582.28,592.42,585.96,641.88,627.71,554.33,578.69,534,546.46,537.53,542.33,553.88,565.55,560,573,574.25,564.94,565.48,564.78,490.58,490.23,507.17,499.43,553.65,538.33,599.19,572.31,589.97,582.82,587.22,609.41,480.57,501.59,578.84,558.72,564.46,550.65,523.77,525.43,487.5,492.44,454.22,463.24,435.74,448.4,473.53,475.74,558.6,552.4,550.61,535
491.96,480.58,509.72,495.16,498.67,465.61,495.14,462.84,506.71,422.59,517.87,422.22,504.55,478.15,495.77,489.58,352.63,376.63,525.58,528.84,420.42,460.86,251.87,284.32,172.19,217.76,357.46,344.27,415.04,407.42,414.35,288.13,552.37,551.23,533.46,525.22,470.22,443.43,474.24,480.03,386.81,401.23,444.9,505.35,477.51,501.56,487.53,502.75,487.46,481.52,488.16,493.68,464.07,491.62,440.89,461.65,425.79,421.16,493.71,490.61,478.25,470.93,511.63,544.74,488.28,507.08,484.91,506.91,490.48,493.62,473.22,464.46,663.41,634.36,509.22,524.07,408,411.37,523.04,515.88,485.71,474.09,399.07,396.45,440.12,465.69,313.96,367.35,320.01,351.79,396.49,409.4,405.69,376.38,578.52,565.66,551.19,526.02,516.53,513.87,389.16,393.25,486.63,470.75,574.34,583.12,432.28,377.03,593.9,616.61,568.05,533.19,557.25,562.15,578.53,580.71,580.58,577.92,629.16,613.68,549.33,574.55,530.27,544.39,537.37,541.55,554.06,563.76,556.5,572,569.62,555.91,565.07,560.28,488.6,486.15,502.39,498.79,552.41,533.88,596.79,564.96,591.86,578.94,584.78,603.3,474.62,498.58,574.35,555.69,561.21,548.04,522.1,524.91,491.9,497.44,456.56,465.36,436.94,449.38,477.67,478.22,563,556.8,551.56,538.5
491.69,478.77,507.18,492.1,496.73,462.69,493.42,459.84,505.54,419.21,514.3,419.14,500.84,473.78,494.21,488.88,349.1,376.87,521.07,524.58,418.69,458.03,250.46,283.19,171.36,217.99,355.28,341.4,413.65,405.9,410.61,288.85,548.09,545.59,532.77,524.47,474.4,448.16,474.16,476.56,385.06,397.22,441.51,498.02,478.04,500.48,485.55,501.29,489.18,481.44,487.02,492.88,463.43,490.18,440.35,460.54,425.11,420.2,493.43,488.93,476.29,466.73,511.33,542.22,487.9,504.36,484.31,504.46,490.18,492.36,472.27,463.38,657.82,628.46,506.56,520.3,405.7,409.9,517.39,508.73,481.03,471.36,396.15,394.07,439.49,463.77,312.54,366.35,317.96,349.47,395.38,408.75,406.44,377.75,582.71,559.6,550.83,525.64,515.88,513,389.02,392.87,486.45,469.41,574.76,584.07,432.63,378.23,579.1,612.21,568.49,530.56,558.27,562.12,578.67,578.44,580.79,579.48,629,614,547.73,573.09,528.43,542.74,535.86,540.86,552.59,563.69,557,576,567.98,556.17,561.98,558.61,488.91,486.54,505.33,500.79,553.94,537.15,596.06,564.71,589.11,577.38,582.78,601.67,475.8,499.03,570.82,552.68,558.12,545.38,516.25,520.52,487.4,492.44,456.56,464.85,434.62,448.9,475.65,475.98,552.6,549,555.94,533.33
488.74,476.93,505.83,490.45,494.48,461,492.22,459.43,504.73,419.52,517,421.57,501.74,474.06,492.15,486.52,350.83,376.56,520.23,523.32,418.91,459.28,252.04,285.73,172.86,219.69,355.81,342.4,414.63,408.05,412.92,289.47,550.34,547.96,531.27,522.39,468.78,442.26,472.83,477.85,384.93,398.39,442.71,499.92,477.11,500.71,485.98,501.36,487.12,478.6,487.47,493.28,463.95,491.57,439.26,459.45,423.02,418.65,490.87,487.24,475.7,468.34,509.31,541.16,487.18,504.08,485.73,505.34,488.35,490.72,469.1,460.61,655.83,627.92,506.09,520.64,404.48,408.6,520.75,511.9,483.3,471.76,400.11,394.64,440.03,464.87,313.21,366.07,317.09,349.17,391.63,401.95,400.93,372.99,582.81,565.36,547.38,523.76,511.31,510.31,384.6,389.23,482.18,467.14,569.91,580.99,429.26,377.11,593.52,611.25,563.31,525.96,552.66,557.81,574.16,577.66,576.63,571.72,623.92,607.89,544.95,569.78,526.5,540.85,533.2,539.27,549.94,562.86,555,571,567.17,555.68,560.1,557.92,488.21,485.75,500.83,493.79,549.03,533.18,592.08,560.33,584.91,574.82,580.19,596.85,479.69,499.95,572.36,552.76,557.81,545.68,519.3,523.17,483.5,487.56,451.16,458.42,431.32,442.57,472.65,472.24,560.4,549.8,550.83,540.17
490.55,478.77,506.88,491.76,495.16,462.56,494.33,460.8,505.22,420.21,517.16,420.62,501.8,474.52,492.61,487.39,352.45,372.57,521.79,524.56,419.41,459.87,251.63,285.94,172.59,218.29,355.08,342.48,414.93,404.26,412.74,287.13,549.55,547.33,532.74,524.46,469.92,441.03,472.2,476.54,384.67,399.71,445.34,501.92,475.68,499.8,484.62,500.69,486.27,479.18,486.95,493.05,463.06,490.7,439.75,459.31,424.01,418.64,492.77,489.35,476.77,470.43,510.18,542.99,487.54,505.22,484.69,504.76,489.29,491.57,471.26,462.9,657.85,628.45,507.53,522.42,406.05,411.71,519.16,511.16,481.68,471.35,396.42,392.86,439.06,462.74,316.11,367.84,316.91,349.07,392.54,405.4,402.48,374.28,576.64,563.32,549.07,524.32,511.45,510.93,385.27,391.08,483.69,467.15,571.55,583.37,426.66,374.57,585.81,611.98,566.14,525.27,552.99,559.51,577.16,575.79,574.89,573.84,625.8,609.07,548.44,571.13,529,541.12,536.25,539.79,552.82,563.86,559.5,572,567.44,554.68,563.29,558.61,487.28,484.13,502.72,498.07,549.41,534.45,592.11,560.86,588.46,576.68,581.74,599.04,477.29,501.74,573.31,553.79,559.72,546.1,520.34,520.72,488.1,491.89,454.16,461.7,432.94,445.2,475.84,475.09,554,548.2,554.61,532.17
490.34,479.25,506.82,492.38,495.7,463.49,492.34,459.69,503.64,419.23,517.01,420.12,501.97,474.41,493.37,488.77,353.71,375.53,519.9,523.38,418.14,459.07,250.96,282.22,173.08,217.98,355.86,343.3,416.96,409.2,410.63,287.3,551.47,549.97,532.12,523.99,471.67,444.11,475.96,480.78,389.59,404.42,446.68,504.88,478.16,501.4,485.66,501.34,490.53,482.2,487.42,493.35,463.59,491.56,441.12,462.36,427.63,422.92,491.95,489.23,474.99,466.41,508.98,541.33,486.29,504.68,482.19,503.83,487.97,491.34,471.23,463,656.69,628.52,506.37,521.68,405.37,409.08,518.77,512.38,484.32,472.07,405.45,397.28,440.08,464.81,319.1,367.87,319.17,350.4,394.15,404.67,405.95,376.72,588.82,565.5,551.91,527.49,513.65,512.5,388.19,393.51,487.29,470.52,575.61,585.87,432.03,377.11,578.17,611.43,567.49,527.05,553.54,559.52,579.03,582.33,578.79,572.84,627.76,611.21,547.48,571.29,528.01,540.86,536.17,540.71,552.06,562.06,559,575,568.04,555.24,562,557.36,489.07,486.67,504.72,500.86,552.85,535.76,594.58,563.33,586.94,576.65,581.93,602.33,478.21,499.77,571.16,553.61,558.38,546.51,519.4,522.73,495.4,498.78,457.78,464.91,434.94,447.13,476.88,477.34,552.6,551.6,551,538
490.04,478.44,505.2,490.11,494.23,461.92,493.27,460.14,503.68,419.06,514.15,419.93,503.28,476.54,492.44,487.55,350.76,378.56,518.4,521.74,417.2,458.99,250.22,283.88,172.88,219.85,356.06,342.81,414.44,409.36,410.59,288.69,550.38,549.55,533.11,525.38,468.74,441.42,473.67,478.62,385.24,400.07,441.12,501.56,476.39,501.42,485.21,501.81,489.78,481.09,487.96,494.13,463.99,491.45,440.79,461.14,424.3,419.72,493.48,489.07,475.15,467.41,511.02,541.29,488.15,505.12,483.71,504.58,487.85,490.83,471.65,462.6,654.42,626.87,506.71,521.77,405,409.88,521.33,514.02,483.98,472.11,396.74,393.97,439.39,463.99,312.18,364.86,317.19,349.15,393.77,402.51,402.72,374.69,579.04,558.73,548.78,524.66,514.35,510.98,386.11,389.04,484.53,467.64,570.92,580.1,429.12,373.88,605.6,616.08,565.29,528.24,555.07,558.59,574.72,577.59,571.32,571.4,625,606.75,543.3,567.36,526.04,540.41,535.17,539.13,552.49,565.22,557,576,565.42,555.6,559,557,488.95,484.71,502.94,494.93,550.38,531.24,591.79,558.19,587.17,575.15,579.07,596.41,478.27,500.68,570.3,552.77,557.68,545.21,518.48,525.94,487.6,491.22,454.56,460.88,432.45,444.67,478.3,477.22,565,550.6,557.22,543.17
490.35,479.15,505.87,491,494.64,461.98,492.29,458.68,502.94,417.93,512.84,418.34,501.83,474.97,492.67,488.5,351.94,374.33,518.89,522.27,418.21,459.81,252.57,285.61,173.03,220.01,356.12,342.4,413.76,404.42,410.95,286.39,547.69,545.82,531.7,523.94,469.17,442.2,471.67,476.1,382.92,399.23,442.15,499.72,473.72,498.13,483.29,499.63,486.06,478.8,486.33,492.69,461.73,489.76,438.82,459.25,423.43,419.24,493.6,489.66,475.26,468.98,509.4,540.58,486.42,503.77,480.63,503.2,487.61,490.19,472.62,464.37,654.96,627.49,507.02,521.37,404.11,410.55,517.79,508.96,480.48,469.7,394.67,391.46,436.15,460.67,313.37,365.54,315.97,347.89,391.09,403.39,400.68,371.9,581.63,564.43,549.85,527,511.41,510.11,384.87,389.61,483.49,467.69,570.33,581.36,425.26,378.3,583.35,611.83,565.76,525.07,551.3,557.07,574.39,576.71,575.42,574.44,623.4,606.79,546.1,570.23,526.74,540.74,533.3,539.57,548.76,561.84,554.5,570,563.67,550.93,560.17,556.39,484.12,481.46,498.44,494.86,547.32,533.58,590.26,560.09,585.63,575.91,580.52,599.26,477.4,499.7,570.32,552.1,558.37,545.04,519.65,523.01,489.4,496,455.69,462.36,432.43,444.98,473.74,472.98,558.8,550.6,555.67,535
489.63,477.96,505.76,490.28,495.12,461.22,491.55,457.57,502.75,417.33,514.42,418.41,503.96,474.69,492.02,486.75,356.16,380.58,518.49,521.39,419.41,461.13,253.18,284.57,174.23,219.8,357.1,342.73,416.11,409.46,409.85,286.12,549.46,548.22,530.71,522.29,467.11,440.4,472.64,477,385.9,400.45,439.01,498.64,476.66,499.49,484.55,500.39,489.77,480.11,487.19,493.37,462.73,489.66,439.52,460.26,424.52,419.61,491.95,488.3,473.76,465.13,507.98,536.99,485.81,502.37,481.02,501.13,485.34,488.33,470.65,461.99,653.29,626.4,505.16,519.95,403.19,408.53,519.92,511.22,483.45,470.34,400.55,394.93,437.73,462.33,314.05,364.86,316.88,348.18,391.66,403.1,402.38,374.82,585.16,565.26,549.42,525.31,511.71,510.37,385.37,391.04,483.47,467.84,572.24,581.84,430.02,376.72,582.38,609.56,564.31,525.76,554.21,558.42,575.18,576.68,575.26,570.24,625.96,609.14,543.23,567.08,525.01,537.67,533.44,538.34,549.2,560.96,554.5,571,565.09,553.11,559.07,553.97,486.12,483.54,501.11,495.79,549.76,531.09,591,558.98,584.6,573.47,579.56,598.41,483.35,501.55,571.49,551.37,557.05,544.57,521.21,526.23,489,492.22,454.5,463,430.77,444.42,474.56,475.1,554.6,549.4,551.06,537.5
488.44,476.48,504.9,488.61,492.86,458.42,491.44,454.96,502.02,415.43,513.36,417.77,501.34,473.67,490.8,485.05,352.06,379.57,517.8,520.91,420.07,461.83,253.79,288.03,174.28,222.39,355,341.83,413.84,407.28,411.35,287.18,546.78,546.01,529.31,521.26,464.8,437.55,470.7,475.68,380.63,398.84,438.73,499.08,476.49,500.39,486.14,500.31,488.27,479.36,488.43,493.96,462.81,491.23,439.03,460.66,422.35,417.18,491.31,487.75,473.5,465.74,507.95,536.87,485.97,501.8,483.51,502.8,486.61,488.04,469.61,461.23,655.06,627.25,504.77,519.51,402.53,407.92,519.94,511.65,480.56,469.46,394.21,391.54,436.76,460.58,311.74,364.82,314.98,346.8,389.12,401.33,397.23,370.12,574.63,558.57,546.92,523.24,510.67,508.19,382.16,387.1,482.22,465.99,567.27,577.46,427.85,378.69,596.96,611.58,563.5,524.47,550.42,554.98,571.91,575.59,568.21,565.4,622.36,602.57,541.54,562.58,522.38,534.63,531.63,535.74,547.29,557.25,552.5,566,560.32,547.36,554.4,547.58,486.47,481.21,497.83,491,547.71,530.12,588.1,555.95,583.46,571.18,576.7,594.33,482.6,503.5,571.18,551.6,557.32,545.16,523.78,529.76,485.8,488.11,452.22,457.27,429.25,440.78,475.63,472.38,561.8,552,549.28,534.17
